column,category,dtype,null_count,null_pct
gdelt_mean_intensity_ma_30d,gdelt_feature,float64,0,0.0
gdelt_total_mentions_sum_30d,gdelt_feature,float64,0,0.0
gdelt_mean_tone_negativity_ma_30d,gdelt_feature,float64,0,0.0
gdelt_mean_goldstein_magnitude_ma_30d,gdelt_feature,float64,0,0.0
cyclone_active_count,cyclone_feature,float64,0,0.0
cyclone_max_wind,cyclone_feature,float64,0,0.0
cyclone_min_pressure,cyclone_feature,float64,0,0.0
cyclone_port_exposure,cyclone_feature,float64,0,0.0
cyclone_num_exposed_ports,cyclone_feature,float64,0,0.0
cyclone_landfall_any,cyclone_feature,float64,0,0.0
cyclone_active,cyclone_feature,float64,0,0.0
cyclone_active_sum_7d,cyclone_feature,float64,0,0.0
cyclone_max_wind_7d,cyclone_feature,float64,0,0.0
cyclone_exposure_sum_7d,cyclone_feature,float64,0,0.0
cyclone_active_sum_14d,cyclone_feature,float64,0,0.0
cyclone_max_wind_14d,cyclone_feature,float64,0,0.0
cyclone_exposure_sum_14d,cyclone_feature,float64,0,0.0
cyclone_active_sum_30d,cyclone_feature,float64,0,0.0
cyclone_max_wind_30d,cyclone_feature,float64,0,0.0
cyclone_exposure_sum_30d,cyclone_feature,float64,0,0.0
wx_dha_temp_max,weather_feature,float64,0,0.0
wx_dha_temp_mean,weather_feature,float64,0,0.0
wx_dha_precip_mm,weather_feature,float64,0,0.0
wx_dha_wind_max,weather_feature,float64,0,0.0
wx_dha_gust_max,weather_feature,float64,0,0.0
wx_dha_wx_code,weather_feature,int64,0,0.0
wx_gan_temp_max,weather_feature,float64,0,0.0
wx_gan_temp_mean,weather_feature,float64,0,0.0
wx_gan_precip_mm,weather_feature,float64,0,0.0
wx_gan_wind_max,weather_feature,float64,0,0.0
wx_gan_gust_max,weather_feature,float64,0,0.0
wx_gan_wx_code,weather_feature,int64,0,0.0
wx_hal_temp_max,weather_feature,float64,0,0.0
wx_hal_temp_mean,weather_feature,float64,0,0.0
wx_hal_precip_mm,weather_feature,float64,0,0.0
wx_hal_wind_max,weather_feature,float64,0,0.0
wx_hal_gust_max,weather_feature,float64,0,0.0
wx_hal_wx_code,weather_feature,int64,0,0.0
wx_par_temp_max,weather_feature,float64,0,0.0
wx_par_temp_mean,weather_feature,float64,0,0.0
wx_par_precip_mm,weather_feature,float64,0,0.0
wx_par_wind_max,weather_feature,float64,0,0.0
wx_par_gust_max,weather_feature,float64,0,0.0
wx_par_wx_code,weather_feature,int64,0,0.0
wx_viz_temp_max,weather_feature,float64,0,0.0
wx_viz_temp_mean,weather_feature,float64,0,0.0
wx_viz_precip_mm,weather_feature,float64,0,0.0
wx_viz_wind_max,weather_feature,float64,0,0.0
wx_viz_gust_max,weather_feature,float64,0,0.0
wx_viz_wx_code,weather_feature,int64,0,0.0
wx_all_wind_max,weather_feature,float64,0,0.0
wx_all_wind_mean,weather_feature,float64,0,0.0
wx_all_gust_max,weather_feature,float64,0,0.0
wx_all_precip_max,weather_feature,float64,0,0.0
wx_all_precip_mean,weather_feature,float64,0,0.0
wx_all_precip_sum,weather_feature,float64,0,0.0
wx_all_temp_max,weather_feature,float64,0,0.0
wx_all_temp_mean,weather_feature,float64,0,0.0
wx_high_wind_indicator,weather_feature,int64,0,0.0
wx_heavy_precip_indicator,weather_feature,int64,0,0.0
wx_adverse_indicator,weather_feature,int64,0,0.0
wx_hal_high_wind,weather_feature,int64,0,0.0
wx_hal_heavy_precip,weather_feature,int64,0,0.0
wx_par_high_wind,weather_feature,int64,0,0.0
wx_par_heavy_precip,weather_feature,int64,0,0.0
wx_dha_high_wind,weather_feature,int64,0,0.0
wx_dha_heavy_precip,weather_feature,int64,0,0.0
wx_viz_high_wind,weather_feature,int64,0,0.0
wx_viz_heavy_precip,weather_feature,int64,0,0.0
wx_gan_high_wind,weather_feature,int64,0,0.0
wx_gan_heavy_precip,weather_feature,int64,0,0.0
wx_ports_high_wind_count,weather_feature,int64,0,0.0
wx_ports_heavy_precip_count,weather_feature,int64,0,0.0
wx_wind_max_3d,weather_feature,float64,0,0.0
wx_precip_max_3d,weather_feature,float64,0,0.0
wx_precip_mean_3d,weather_feature,float64,0,0.0
wx_adverse_sum_3d,weather_feature,float64,0,0.0
wx_wind_max_7d,weather_feature,float64,0,0.0
wx_precip_max_7d,weather_feature,float64,0,0.0
wx_precip_mean_7d,weather_feature,float64,0,0.0
wx_adverse_sum_7d,weather_feature,float64,0,0.0
